VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_47_OTW73KC06V	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2480	2607	4695	Verrucamides_Verrucamide_D	11	9.0e-15	1386.81	658.412	347.169	M+2H	2	CC(C)C1C(=O)N(C)C(CO)C(=O)N(C)C(C(C)C)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NCC(=O)NC(C(C)C)C(=O)N(C)C(C(C)O)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)O)C(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)NCC(=O)N1	0.00
spectra-00000_PSM_48_B60JQBDZYB	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	10144	12134	5808	Triptotin_L_Triptotin_L	7	9.4e-15	665.473	713.456	309.145	M+H	1	CC(C)CCCCC(C)(C)CCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)O1	0.00
spectra-00000_PSM_49_6HBJZW8NGR	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1829	1906	2752	Cyclosporin,_9CI_4-L-Leucine,_10-L-alanine_analogue	10	1.1e-14	1175.79	613.396	396.887	M+2H	2	CC=CCC(C)C(C1C(=O)NC(C(C)O)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)NC(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-00000_PSM_50_ZBNCKX23ER	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9095	10539	5986	Wewakamide_A_Wewakamide_A	9	1.1e-14	994.647	548.364	329.79	M+2H	2	CCC(C)C1C(=O)NC(C(C)C)C(=O)NC(C)C(C)C(=O)NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N2CCCC2C(=O)N(C)C(C)C(=O)N(C)C(CC(C)C)C(=O)N1C	0.00
spectra-00000_PSM_51_DJN48LQ2BC	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	866	894	3106	Antibiotic_BK_230_Antibiotic_BK_230	10	1.5e-14	1125.67	503.33	379.438	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)NC(Cc2ccc(cc2)OC)C(=O)OC(C)C(=O)N2CCCCC2C(=O)N(C)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(=O)O)C(=O)N(C)C(C(C)CC)C(=O)N1C	0.00
spectra-00000_PSM_52_Q7CG0I455B	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	8319	9434	7322	B_12489_B_12489A	10	1.7e-14	1098.64	497.311	298.252	M+2H	2	CC=C1C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)OC(CCCC(C)C)CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)N1	0.00
spectra-00000_PSM_53_KC18DMBL3M	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1875	1955	5917	Friulimicin_Friulimicin_A	9	1.7e-14	1288.67	635.399	467.965	M+2H	2	CC(C)CCCCCCC=CCC(=O)NC(CC(=N)O)C(=O)NC1C(C)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(C(C)N)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(C(C)C(=O)O)NC(=O)C2CCCCN2C1=O	0.00
spectra-00000_PSM_54_GQOWDDID2I	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	942	972	2730	Peptidolipin_F_Peptidolipin_F	9	2.1e-14	781.459	362.738	345.928	M+2H	2	CCC(C)C1C(=O)NC(C(C)C)C(=O)NC(C(C)OC)C(=O)OC(C)CC(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_55_DGI0CJSBZP	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	131	136	9540	g-Hydroxy-Meleu4-cyclosporin	10	2.3e-14	1217.84	434.949	360.647	M+3H	3	N1(C(=O)[C@H](N(C(=O)[C@@H](N(C(=O)[C@@H](N(C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)CN(C(=O)[C@H](NC(=O)[C@@H]1[C@@H]([C@@H](C/C=C/C)C)O)CC)C)C)CC(O)(C)C)C(C)C)C)CC(C)C)C)C)C)CC(C)C)C)CC(C)C)C)C(C)C)C	0.00
spectra-00000_PSM_56_CEWOHI14CD	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1297	1347	7562	Kulokainalide_1_Kulokainalide_1	9	2.5e-14	890.515	451.288	377.7	M+2H	2	C#CCCCC1C(C)(C)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)C)C(=O)OC(C)C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(=O)O1	0.00
spectra-00000_PSM_57_E0N3BND3MM	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	3168	3345	2730	Peptidolipin_F_Peptidolipin_F	9	2.5e-14	781.459	381.727	301.559	M+2H	2	CCC(C)C1C(=O)NC(C(C)C)C(=O)NC(C(C)OC)C(=O)OC(C)CC(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_58_I4NMTYWXTI	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2347	2457	6523	Friulimicin_Friulimicin_D	8	2.6e-14	1316.7	679.425	471.994	M+2H	2	CCC(C)CCCCCCCC=CCC(=O)NC(CC(=N)O)C(=O)NC1C(C)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(C(C)N)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(C(C)C(=O)O)NC(=O)C2CCCCN2C1=O	0.00
spectra-00000_PSM_59_E3FZI0CEFM	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9302	10853	3420	Bursaphelocide_A_Bursaphelocide_A	7	2.9e-14	593.379	515.331	409.507	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(C(C)CC)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_60_ZUYNSN1IY3	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1753	1825	5917	Friulimicin_Friulimicin_A	9	3.3e-14	1288.67	591.372	464	M+2H	2	CC(C)CCCCCCC=CCC(=O)NC(CC(=N)O)C(=O)NC1C(C)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(C(C)N)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(C(C)C(=O)O)NC(=O)C2CCCCN2C1=O	0.00
spectra-00000_PSM_61_DAKU8AFRC6	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2004	2090	7093	Destruxins_NVal-De-Me	7	4.3e-14	579.363	501.316	400.827	M+H	1	CCC(C)C1C(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(C)C)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_62_I8Z2G47NTY	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2276	2384	8333	SF-1902-A4	8	4.8e-14	667.452	340.26	324.461	M+2H	2	N1(C(=O)C(C(OC(=O)NCC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C1C(CC)C)C(C)C)CO)C(C)C)CCCCCCCC)C)C	0.00
spectra-00000_PSM_63_WWROF08R70	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	5088	5447	3552	Minutissamide_A_Minutissamide_A	9	5.6e-14	1117.61	508.291	444.007	M+2H	2	CCCCCCCCC(C)C1C(C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC(CC(=N)O)C(=O)NC(=CC)C(=O)NC(CC(=N)O)C(=O)NC(C)C(=O)NC(C(C)O)C(=O)N(C)C(CC(=N)O)C(=O)N2CCCC2C(=O)N1)O	0.00
spectra-00000_PSM_64_33PULRKUZQ	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	7352	8163	7163	Methyl_hexa(α-hydroxyisovalerate)_Methyl_hexa(α-hydroxyisovalerate)	6	5.6e-14	632.341	536.286	563.909	M+H	1	CC(C)C(C(=O)OC(C(C)C)C(=O)OC(C(C)C)C(=O)OC(C(C)C)C(=O)OC(C(C)C)C(=O)OC(C(C)C)C(=O)OC)O	0.00
spectra-00000_PSM_65_BFMS54AQ7H	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	567	585	5986	Wewakamide_A_Wewakamide_A	9	7.0e-14	994.647	525.325	369.755	M+2H	2	CCC(C)C1C(=O)NC(C(C)C)C(=O)NC(C)C(C)C(=O)NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N2CCCC2C(=O)N(C)C(C)C(=O)N(C)C(CC(C)C)C(=O)N1C	0.00
spectra-00000_PSM_66_HZRSGKYCKY	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	646	669	9812	Tolybyssidin_A	9	8.1e-14	1464.87	533.005	382.858	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_67_4QRI7UTCS1	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	5740	6179	7322	B_12489_B_12489A	10	8.1e-14	1098.64	496.323	358.453	M+2H	2	CC=C1C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)OC(CCCC(C)C)CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)N1	0.00
spectra-00000_PSM_68_8OWST1J2T1	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	548	566	9812	Tolybyssidin_A	8	9.7e-14	1464.87	468.96	372.541	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_69_WAA457M5WT	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	174	180	549	Clavariopsin_A_Clavariopsin_A	8	1.4e-13	1153.7	621.393	357.043	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)NC(Cc2ccc(cc2)OC)C(=O)OC(C(C)C)C(=O)N2CCCCC2C(=O)N(C)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(=O)O)C(=O)N(C)C(=O)C(C(C)CC)N1C	0.00
spectra-00000_PSM_70_VZRUI67ZG0	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	467	482	9812	Tolybyssidin_A	9	1.4e-13	1464.87	459.628	368.093	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_71_YRL3FUNTPL	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1731	1801	7416	B_12489_B_12489B	9	1.8e-13	1100.62	547.346	459.466	M+2H	2	CCCCCC1CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)NC(=CC)C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)O1)C(C)(C)O	0.00
spectra-00000_PSM_72_WUY538YY5D	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1635	1702	9052	Lipopeptide_A	9	1.8e-13	1177.56	569.359	461.938	M+2H	2	C1(=O)C(NC(=O)C(NC(=O)CCCC)CC(=O)C)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C3N1CCCC3)C(C(=O)O)C)CC(=O)O)CC(=O)O)C(N)C)C(C)C)CCC2)C	0.00
spectra-00000_PSM_73_ON3QDFAMA6	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1547	1612	3106	Antibiotic_BK_230_Antibiotic_BK_230	9	2.0e-13	1125.67	517.328	389.863	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)NC(Cc2ccc(cc2)OC)C(=O)OC(C)C(=O)N2CCCCC2C(=O)N(C)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(=O)O)C(=O)N(C)C(C(C)CC)C(=O)N1C	0.00
spectra-00000_PSM_74_FHTJ5UO0QR	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	505	520	9812	Tolybyssidin_A	9	2.0e-13	1464.87	731.459	373.588	M+2H	2	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_75_R4BOSMCWW5	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1662	1730	8481	malaysiatin	8	2.1e-13	752.422	419.228	291.299	M+2H	2	C(C1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C3N(C1=O)CCC3)CCC2)Cc1ccccc1)C(C)C)C(C)C)C(C)C)C(=O)N	0.00
spectra-00000_PSM_76_HWMR7THYZD	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	8276	9381	3593	Anabaenopeptin_C_Anabaenopeptin_C	7	2.2e-13	808.448	399.757	337.489	M+2H	2	CC(C)C1C(=O)NC(CCc2ccc(cc2)O)C(=O)N(C)C(C)C(=O)NC(Cc2ccccc2)C(=O)NCCCCC(C(=O)N1)NC(=O)NC(CCCCN)C(=O)O	0.00
spectra-00000_PSM_77_DWECU812O1	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	127	132	5973	Kahalalide_E_Kahalalide_E	8	2.6e-13	835.521	467.301	325.851	M+2H	2	CC(C)CCCCCC1CC(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O1	0.00
spectra-00000_PSM_78_5QW57MJXN5	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	6817	7452	9112	none	8	2.8e-13	1035.68	503.303	385.744	M+2H	2	C1(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O[C@@H](C1)CCCCCCCCC(CC)C)C(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)OC	0.00
spectra-00000_PSM_79_WL67N3H5HE	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1842	1922	7485	Aurilide_B_Aurilide_B	8	3.0e-13	833.551	475.299	315.656	M+2H	2	CCC=C(C)C1C(C)C(CC=C(C)C(=O)OC(C(C)CC)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N(C)CC(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)O1)O	0.00
spectra-00000_PSM_80_J6JQOO2T8E	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	802	828	4397	Majusculamide_C_Demethoxy	9	3.4e-13	954.579	415.278	360.83	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C)C(=O)C(C)(C)C(=O)NC(C)C(=O)NC(CC)C(C)C(=O)OC(C(C)CC)C(=O)NCC(=O)N1C	0.00
spectra-00000_PSM_81_ZADTEFJBWT	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	3749	3983	7562	Kulokainalide_1_Kulokainalide_1	8	3.5e-13	890.515	451.27	378.067	M+2H	2	C#CCCCC1C(C)(C)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)C)C(=O)OC(C)C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(=O)O1	0.00
spectra-00000_PSM_82_2HTT4L8ZCS	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	795	821	5986	Wewakamide_A_Wewakamide_A	9	3.6e-13	994.647	437.291	366.04	M+2H	2	CCC(C)C1C(=O)NC(C(C)C)C(=O)NC(C)C(C)C(=O)NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N2CCCC2C(=O)N(C)C(C)C(=O)N(C)C(CC(C)C)C(=O)N1C	0.00
spectra-00000_PSM_83_MX9BCI2361	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1809	1886	549	Clavariopsin_A_Clavariopsin_A	9	4.0e-13	1153.7	539.341	394.806	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)NC(Cc2ccc(cc2)OC)C(=O)OC(C(C)C)C(=O)N2CCCCC2C(=O)N(C)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(=O)O)C(=O)N(C)C(=O)C(C(C)CC)N1C	0.00
spectra-00000_PSM_84_EB4VBZVWB3	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9932	11810	4245	Guineamide_E_Guineamide_E	7	4.2e-13	741.431	665.386	313.328	M+H	1	CCCC1C(C)(C)C(=O)OC(C(C)C)C(=O)NC(C)C(=O)N(C)C(C(C)C)C(=O)N2CCCC2C(=O)N(C)C(Cc2ccccc2)C(=O)NCC(=O)O1	0.00
spectra-00000_PSM_85_4XWKSFC3YG	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	244	252	9656	Trichotoxin_C	7	5.1e-13	1717.05	567.028	387.213	M+3H	3	N1(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C)(C)C)C)(C)C)CC(C)C)(C)C)CCC(=O)N)(C)C)(C)C)(C)C)C)C)(C)C)C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(C)C)CO)CCC(=O)N)(CC)C)(C)C)CC(C)C)CCC1	0.00
spectra-00000_PSM_86_P1R0RJEDZ6	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	217	223	1783	Laxaphycin_D_Laxaphycin_D	8	5.8e-13	1366.81	643.406	360.668	M+2H	2	CCCCCC1CC(=O)NC(C(C)C)C(=O)NC(C(C(C)C)O)C(=O)NC(C)C(=O)NC(C(C(C)C)O)C(=O)NC(CCC(=N)O)C(=O)N(C)C(C(C)CC)C(=O)NC(C(C(=N)O)O)C(=O)NC(C(C)O)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)N1	0.00
spectra-00000_PSM_87_NEV5ER8ILI	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	6428	6977	8033	pacidamycin_1	6	6.5e-13	874.361	510.27	369.508	M+2H	2	Oc1cccc(c1)C[C@@H](C(=O)N([C@@H]([C@@H](C(=O)N(C(=O)N[C@@H](C(=O)O)Cc1c[nH]c2c1cccc2)/C=C\1/O[C@@H]([C@@H](C1)O)n1ccc(=O)[nH]c1=O)N)CC(=O)[C@@H](N)C)C)NC(=O)[C@@H](N)C	0.00
spectra-00000_PSM_88_M2JO0XMBEN	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	571	589	9812	Tolybyssidin_A	7	6.9e-13	1464.87	753.471	376.571	M+2H	2	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_89_82U5S0OP4B	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	3385	3585	6989	BZR-Cotoxin_II_BZR-Cotoxin_II	8	7.0e-13	964.573	481.316	360.828	M+2H	2	CC(C)CC1C(=O)NC2(CC2)C(=O)OC(CC(C)C)C(=O)N(C)C(CC(C)CO)C(=O)N(C)C(C(C)C)C(=O)NC(C(C)O)C(=O)OC(C(C)C)C(=O)N2CC(C)CC2C(=O)N(C)C(C)C(=O)O1	0.00
spectra-00000_PSM_90_VUNTJN8UUX	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9708	11466	7000	Gelatinase_biosynthesis-activating_pheromone_Gelatinase_biosynthesis-activating_pheromone	9	7.1e-13	1302.58	628.279	423.257	M+2H	2	CCC(C)C1C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(CCC(=N)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCSC)C(=O)OCC(C(=O)N2CCCC2C(=O)NC(CC(=N)O)C(=O)N1)NC(=O)C(CC(=N)O)NC(=O)C(CCC(=N)O)N	0.00
spectra-00000_PSM_91_IXHTX4PP3V	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9260	10782	5237	Antibiotic_RF_2691B_Antibiotic_RF_2691B	6	7.9e-13	772.462	778.422	608.775	M+H	1	CCC(C)C1C(=O)NC(CO)C(=O)OC(C(C)C)C(=O)OC(CC(C)C)C(=O)NC(Cc2ccc(cc2)OCC=C(C)C)C(=O)N(C)C(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_92_K6R2KR4MTK	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	8298	9406	3514	Sclerotide_A_Sclerotide_A	7	9.0e-13	709.286	371.171	307.286	M+2H	2	CC1C(=O)NC(C(C)O)C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc2C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)N1	0.00
spectra-00000_PSM_93_BJRUJ1J77G	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	496	511	5973	Kahalalide_E_Kahalalide_E	8	9.0e-13	835.521	364.225	300.133	M+2H	2	CC(C)CCCCCC1CC(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O1	0.00
spectra-00000_PSM_94_9MBWKY3QWU	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	292	302	5783	Lobocyclamide_C_Lobocyclamide_C	8	9.1e-13	1369.81	474.305	372.615	M+3H	3	CCCCCC1CC(=O)NC(C(C)C)C(=O)NC(C(C(C)C)O)C(=O)NC(C)C(=O)NC(C(C(C)C)O)C(=O)NC(CCC(=N)O)C(=O)N(C)C(C(C)CC)C(=O)NC(C(CO)O)C(=O)NC(C(C)O)C(=O)N2CC(CC2C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)N1)O	0.00
