"","Mo_2019_122_C"
"981_217.1624_9.4932_32_N/A_Massbank:LU080703 Azacyclotridecan-2-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.864856e+08"
"982_306.2792_9.2779_422_N/A_Spectral Match to 1-Octadecanamine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.609466e+08"
"983_305.2686_10.712_1762_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Fatty Acyls_NA","9.721281e+07"
"984_329.0052_9.4208_-1_N/A_0327_Tris(1-chloro-2-propyl)phosphate_NA_no matches_no matches_no matches_no matches","8.700608e+07"
"985_240.1806_1.8296_1362_N/A_(2E)-3-(4-hydroxy-3-methoxyphenyl)-2-propenoic acid_NA_Organic compounds_Organoheterocyclic compounds_NA_NA","3.129298e+08"
"986_386.202_4.2644_383_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Amino acids, peptides, and analogues","1.400453e+08"
"987_416.2129_3.7734_379_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.706585e+08"
"989_379.2381_7.2178_168_N/A_Arthonin_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","6.517976e+07"
"990_558.3484_6.5452_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.009244e+07"
"991_664.3905_9.3439_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","6.022248e+07"
"992_249.185_10.3785_1198_N/A_Spectral Match to Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","5.386134e+07"
"993_380.3373_10.746_778_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives","1.380658e+08"
"994_229.1624_8.8631_32_N/A_Massbank:LU071501 Nootkatone|(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.220534e+08"
"995_355.2327_4.5022_543_N/A_NA_NA_Organic compounds_Benzenoids_Prenol lipids_Methoxyphenols","1.425320e+08"
"996_619.5052_11.3315_68_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acids and conjugates","1.018336e+08"
"997_374.3267_9.7393_328_N/A_Spectral Match to Acetyl-DL-carnitine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters","5.670799e+07"
"998_311.2064_4.2113_543_N/A_NA_NA_Organic compounds_Benzenoids_Prenol lipids_Methoxyphenols","1.097178e+08"
"1000_378.163_5.0943_1541_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.034204e+08"
"1001_440.3583_10.423_110_N/A_Spectral Match to Hexaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","5.685383e+07"
"1002_349.2949_10.6833_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","7.871533e+07"
"1003_430.2287_4.5277_383_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Amino acids, peptides, and analogues","1.357868e+08"
"1004_348.2747_9.1723_100_N/A_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Diterpenoids","9.638288e+07"
"1005_291.2562_0.6732_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","4.986619e+07"
"1006_392.3312_10.1995_-1_N/A_Massbank:LU033301 AM580|4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid|4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid_NA_no matches_no matches_no matches_no matches","3.722516e+08"
"1007_343.2116_5.5414_46_N/A_""(4R)-4-((3R,4R,5S,7R,9S,10R,13R,14S,17R)-3,4,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","2.201531e+08"
"1008_270.2216_8.013_89_N/A_Massbank:EQ359001 2,6-Di-tert-butylpyridine|2,6-ditert-butylpyridine|2,6-Bis(2-methyl-2-propanyl)pyridine_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates","4.060798e+08"
"1011_384.7514_5.8675_-1_N/A_NA_Peptidolipin_F_Peptidolipin_F_Organic compounds_Organic acids and derivatives_Peptidomimetics_Depsipeptides","1.276470e+08"
"1012_602.3749_6.7541_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.516639e+08"
"1013_311.2403_10.939_32_N/A_Spectral Match to Cholesta-4,6-dien-3-one from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.033753e+08"
"1014_408.1721_5.5153_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","9.947640e+07"
"1015_342.1758_3.8778_383_N/A_Cimetidine_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Amino acids, peptides, and analogues","6.369648e+07"
"1016_419.2278_7.4741_34_N/A_Spectral Match to Hexanedioic acid, bis(2-ethylhexyl) ester from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","6.751094e+07"
"1017_272.2373_8.3828_-1_N/A_Massbank:EQ359001 2,6-Di-tert-butylpyridine|2,6-ditert-butylpyridine|2,6-Bis(2-methyl-2-propanyl)pyridine_NA_no matches_no matches_no matches_no matches","1.007593e+09"
"1018_353.2319_8.8012_-1_methyl 5-methyl-5,15-diazahexacyclo[14.2.2.1.0.0.0]heni cosa-9,11,13-triene-17-carboxylate, iodide_Massbank:LU033301 AM580|4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid|4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid_NA_Organic compounds_Alkaloids and derivatives_Aspidofractine alkaloids_NA","7.964764e+07"
"1019_329.3033_9.9099_-1_N/A_AKOS003672986_NA_no matches_no matches_no matches_no matches","3.735761e+08"
"1020_315.2877_9.7539_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","3.925107e+08"
"1021_474.2542_4.7462_383_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Amino acids, peptides, and analogues","1.151516e+08"
"1022_200.2372_8.8683_73_N/A_9H-Pyrido[3,4-B]indole_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","1.055686e+08"
"1023_424.3421_10.6874_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","6.806952e+07"
"1024_547.3564_6.4472_202_N/A_Spectral Match to Undecaethylene glycol from NIST14_Permetin_A_2-L-Valine_analogue_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","6.958780e+07"
"1025_163.0753_10.5041_168_N/A_Spectral Match to Benzophenone from NIST14_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","6.773241e+07"
"1026_227.1467_8.5626_32_cyclo(L-Leu-L-4-Hyp)_Spectral Match to Cholesta-4,6-dien-3-one from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","5.068437e+08"
"1027_420.223_8.3721_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","6.929339e+07"
"1028_646.4012_6.8691_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.419114e+08"
"1029_223.0966_9.072_11_Spectral Match to Diethyl phthalate from NIST14_Spectral Match to Diethyl phthalate from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","8.855523e+07"
"1030_223.154_3.6092_1636_N/A_Massbank:KW109402 2-(2-(2-ethoxyethoxy)ethoxy)ethanol_NA_Organic compounds_Organoheterocyclic compounds_Tetrahydroisoquinolines_NA","1.165009e+08"
"1031_398.2538_9.2488_675_N/A_Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Quinuclidines_NA","5.880450e+07"
"1032_176.1434_5.1225_1396_N/A_Massbank:LU068803 1-Cyclohexylpyrrolidin-2-one|N-Cyclohexyl-2-pyrrolidone_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA","1.525689e+08"
"1033_320.3312_9.851_1719_N/A_(1R,4aR,5S)-5-(3-hydroxy-3-methylpent-4-enyl)-1,4a-dimethyl-6-methylidene-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carboxylic acid_NA_Organic compounds_Organoheterocyclic compounds_Pyrrolines_NA","3.214107e+08"
"1034_253.1622_9.4494_32_Estrone-d4_Himbacine_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","4.046855e+08"
"1035_474.2909_4.8187_107_N/A_[(2R,3R,4R,5R)-2-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl] 4-hydroxy-2-methoxy-6-methylbenzoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.679083e+08"
"1036_334.3469_9.9926_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","2.822759e+08"
"1037_367.2118_9.1713_2083_N/A_Massbank:LU086203 Pentaethylene glycol|2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethanol_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_Amino acids, peptides, and analogues","5.842328e+07"
"1039_606.3698_5.3369_107_N/A_[(2R,3R,4R,5R)-2-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl] 4-hydroxy-2-methoxy-6-methylbenzoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.115984e+08"
"1040_396.3112_10.4959_346_N/A_NCGC00385377-01_C19H32O7_4-(2,6,6-Trimethyl-4-oxo-2-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside_NA_Organic compounds_Lipids and lipid-like molecules_Benzene and substituted derivatives_Amino acids, peptides, and analogues","5.534853e+07"
"1041_185.1146_4.9927_-1_N/A_Massbank:LU071501 Nootkatone|(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one_NA_no matches_no matches_no matches_no matches","8.720065e+07"
"1042_504.2648_4.2708_379_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.132595e+08"
"1043_562.3433_5.186_107_N/A_[(2R,3R,4R,5R)-2-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl] 4-hydroxy-2-methoxy-6-methylbenzoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.341415e+08"
"1044_416.2855_4.7454_202_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.464090e+08"
"1045_270.2216_7.8879_89_N/A_Massbank:EQ303102 Xylometazoline|2-(4-tert-butyl-2,6-dimethyl-benzyl)-2-imidazoline_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates","3.275384e+08"
"1046_401.3013_6.825_68_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acids and conjugates","6.477439e+07"
"1047_372.1864_3.508_379_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.525883e+08"
"1048_656.3852_8.5006_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.028641e+08"
"1049_422.3115_7.6795_100_N/A_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Diterpenoids","3.531639e+07"
"1050_299.2404_10.9517_32_N/A_Spectral Match to Cholesterol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.009076e+08"
"1051_330.2276_5.732_817_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Piperidines_NA","2.934663e+08"
"1052_306.3155_9.6787_1719_N/A_Himbacine_NA_Organic compounds_Organoheterocyclic compounds_Pyrrolines_NA","3.314133e+08"
"1053_434.2388_6.4552_1031_N/A_NA_NA_Organic compounds_Phenylpropanoids and polyketides_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.169668e+08"
"1054_322.2952_10.7107_1932_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Diterpenoids","8.201120e+07"
"1055_279.1777_10.0269_32_N/A_Himbacine_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.477384e+08"
"1056_177.0546_9.0713_11_Spectral Match to Diethyl phthalate from NIST14_Spectral Match to Diethyl phthalate from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","7.737568e+07"
"1057_397.2316_4.1513_2922_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","8.913777e+07"
"1058_518.3168_5.0114_107_N/A_[(2R,3R,4R,5R)-2-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl] 4-hydroxy-2-methoxy-6-methylbenzoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.373005e+08"
"1059_331.2479_8.801_100_N/A_7-oxolithocholic acid_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Diterpenoids","6.921089e+07"
"1060_690.4274_6.953_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.348806e+08"
"1061_488.3583_10.4897_309_N/A_Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acid esters","5.962384e+07"
"1062_277.2163_9.1772_-1_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_NA_no matches_no matches_no matches_no matches","7.492227e+07"
"1063_346.3469_9.9841_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","2.635760e+08"
"1064_282.2793_11.4892_87_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_Spectral Match to Oleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","1.045173e+08"
"1065_348.3626_10.1167_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","2.196863e+08"
"1067_379.249_4.854_-1_N/A_NA_hymenamide_E_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","9.596474e+07"
"1068_296.2374_8.7116_89_N/A_Massbank:LU033301 AM580|4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid|4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates","6.192641e+08"
"1069_612.3589_8.4475_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","8.090172e+07"
"1070_532.3842_10.4748_309_N/A_Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acid esters","5.128562e+07"
"1071_346.3105_9.3433_1335_N/A_3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid_NA_Organic compounds_Organoheterocyclic compounds_Piperidines_NA","9.114656e+06"
"1072_323.2405_11.0327_32_N/A_LITHOCHOLIC ACID_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.631414e+08"
"1073_332.3312_9.8364_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","2.764965e+08"
"1074_418.2438_7.4879_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","7.404890e+07"
"1075_422.3841_10.9662_1940_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Diazines_Diterpenoids","7.689086e+07"
"1076_277.2163_8.2393_-1_N/A_Spectral Match to 8(9)-EpETE from NIST14_NA_no matches_no matches_no matches_no matches","2.908596e+07"
"1077_207.1591_5.4101_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","6.065340e+07"
"1078_518.2802_4.9495_383_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Amino acids, peptides, and analogues","8.084836e+07"
"1079_313.1645_8.93_269_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA","5.140815e+07"
"1080_768.4952_5.9279_202_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","9.010094e+07"
"1081_444.3323_10.5342_309_N/A_Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acid esters","5.133698e+07"
"1082_357.2358_4.7218_171_N/A_NA_PF_1171F_PF_1171F_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","5.507567e+07"
"1083_376.3422_9.6454_532_N/A_Spectral Match to Palmitamide from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Organooxygen compounds_NA","4.196118e+07"
"1084_215.1468_8.213_32_N/A_Massbank:LU071501 Nootkatone|(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.472237e+08"
"1085_376.2593_9.5153_695_N/A_Galangin_NA_Organic compounds_Organoheterocyclic compounds_Azaspirodecane derivatives_NA","4.167783e+07"
"1086_195.0876_3.3087_800_Caffeine_Caffeine_NA_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives","1.019533e+08"
"1087_396.3627_10.3587_1960_N/A_Himbacine_NA_Organic compounds_Lipids and lipid-like molecules_Macrolactams_NA","3.317036e+08"
"1088_369.2275_8.9321_269_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA","5.020356e+07"
"1089_568.3324_8.4481_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","7.540739e+07"
"1090_325.2155_10.2616_1610_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","8.061512e+07"
"1091_376.306_9.8088_461_N/A_Spectral Match to Decynediol, tetramethyl, di(2-hydroxyethyl) ether from NIST14_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds","5.397725e+07"
"1092_369.154_6.6418_-1_N-[3-(4-methyl(1,2,4-triazol-3-yl))phenyl](3,4,5-trimethoxyphenyl)carboxamide_TrospiumCl_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Anilides","5.470732e+07"
"1093_342.2276_6.4459_176_N/A_Massbank:EA256110 Gabapentin|1-(Aminomethyl)cyclohexaneacetic acid| 2-[1-(aminomethyl)cyclohexyl]acetic acid_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","5.839230e+07"
"1094_547.3332_7.7827_1671_N/A_Karakoline_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","4.185426e+07"
"1095_484.3843_10.4093_-1_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_no matches_no matches_no matches_no matches","4.022215e+07"
"1096_319.2844_10.7564_32_N/A_Massbank:FFF00102 24-Ethylcoprostanol_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","9.652908e+07"
"1097_365.1958_5.5512_2810_NCGC00169827-03!(2E,4E)-12-hydroxy-13-(hydroxymethyl)-3,5,7-trimethyltetradeca-2,4-dienedioic acid [IIN-based on: CCMSLIB00000847643]_Massbank:NA000863 alpha-Cyperone_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","1.603431e+08"
"1098_204.1383_8.7525_-1_Massbank:UF410803 Crotamiton|2-Butenamide, N-ethyl-N-(2-methylphenyl)-|N-ethyl-N-(2-methylphenyl)-2-butenamide_Massbank:UF410803 Crotamiton|2-Butenamide, N-ethyl-N-(2-methylphenyl)-|N-ethyl-N-(2-methylphenyl)-2-butenamide_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Anilides","5.540455e+07"
"1099_335.2792_10.4374_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","5.719368e+07"
"1100_514.3221_6.5187_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","9.766734e+07"
"1101_360.3626_10.1002_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","2.040953e+08"
"1102_364.1967_6.6509_34_N/A_methyl 19-hydroxy-14,18-dimethyl-12-azahexacyclo[10.6.1.11/4,?.01/4?,1/4?.01/4?,1/4?.0?,1/4?]icosa-3,7(20)-diene-3-carboxylate_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","5.352373e+07"
"1103_289.2009_4.7905_299_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","1.974094e+08"
"1105_394.2954_9.1814_68_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acids and conjugates","4.537364e+07"
"1106_405.2849_7.701_100_N/A_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Diterpenoids","3.485029e+07"
"1107_420.2701_7.1582_359_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","9.736185e+07"
"1108_230.1388_4.2167_26_N/A_SEBACIC ACID_NA_Organic compounds_Lipids and lipid-like molecules_Organooxygen compounds_Carbohydrates and carbohydrate conjugates","1.890125e+08"
"1109_252.1572_7.9693_-1_N/A_EMBELIN_NA_no matches_no matches_no matches_no matches","5.175194e+07"
"1110_372.3109_11.1248_168_N/A_Spectral Match to Jasmine lactone from NIST14_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","3.533023e+07"
"1111_163.039_7.0411_-1_Massbank:LU019402 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_Massbank:LU019402 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_NA_Organic compounds_Organoheterocyclic compounds_Benzofurans_Benzofuranones","9.311930e+07"
"1112_399.2589_4.7523_202_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.036843e+08"
"1113_400.306_10.4423_309_N/A_Spectral Match to p-tert-Octylphenol tetraglycol ether from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acid esters","9.926741e+06"
"1114_295.2265_9.7083_2043_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_Spectral Match to Pinolenic acid from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA","7.484174e+07"
"1115_700.4115_8.5699_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.850944e+08"
"1116_378.2271_6.799_1670_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","5.482067e+07"
"1117_169.17_6.6165_-1_N/A_Spectral Match to L-Leucine from NIST14_NA_no matches_no matches_no matches_no matches","6.445338e+07"
"1118_406.7645_6.0076_1126_N/A_NA_Kulokainalide_1_Kulokainalide_1_Organic compounds_Organic acids and derivatives_Peptidomimetics_Depsipeptides","9.630999e+07"
"1119_376.2997_9.9949_-1_N/A_Cimifugin_NA_no matches_no matches_no matches_no matches","1.963493e+08"
"1120_360.1806_10.5079_168_N/A_Massbank: Fenoterol_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","4.656972e+07"
"1121_384.3627_10.3498_-1_N/A_forskolin_NA_no matches_no matches_no matches_no matches","3.045459e+08"
"1122_650.3959_5.4699_107_N/A_Chukrasin Methyl Ether_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","8.216793e+07"
"1123_363.2373_5.0659_343_N/A_4-acetyloxy-8-(3-oxo-2-pent-2-enylcyclopenten-1-yl)octanoic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.141196e+08"
"1124_445.2113_9.6694_1522_Massbank:AC000711 Aurantiamide acetate|Asperglaucide, Lyciumamide|6.N-Benzoylphenylalanylphenylalinol acetate_Massbank:AC000711 Aurantiamide acetate|Asperglaucide, Lyciumamide|6.N-Benzoylphenylalanylphenylalinol acetate_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","3.418044e+07"
"1125_308.3312_9.9044_-1_(2R,6S)-2-methyl-6-[(3Z)-pentadec-3-en-1-yl]piperidine_(2R,6R)-2-methyl-6-tridecylpiperidine_NA_Organic compounds_Alkaloids and derivatives_NA_NA","2.066656e+08"
"1126_318.3155_9.6697_-1_N/A_Himbacine_NA_no matches_no matches_no matches_no matches","2.507286e+08"
"1127_347.2311_6.9745_-1_Massbank:EQ319801 Corticosterone|11b,21-Dihydroxyprogesterone|(8S,9S,10R,11S,13S,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one_Massbank:LU080702 Azacyclotridecan-2-one_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Hydroxysteroids","4.531389e+07"
"1128_195.1228_0.7022_110_Spectral Match to Tetraethylene glycol from NIST14_Spectral Match to Hexaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","6.490274e+07"
"1129_401.2623_4.928_NA_NA_NA_NA_NA_NA_NA_NA","8.026646e+07"
"1130_397.2222_6.4254_73_NCGC00385079-01_C19H34O7_4-(4-Hydroxy-2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside_Massbank:LU080702 Azacyclotridecan-2-one_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","8.057662e+07"
"1133_734.4534_7.0266_7_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.357731e+08"
"1134_398.2555_7.094_491_N/A_NA_Daitocidin_Daitocidin_A1_Organic compounds_Organoheterocyclic compounds_Prenol lipids_Monoterpenoids","9.381968e+07"
"1136_258.2217_7.7_89_N/A_cerulenin_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates","3.694217e+08"
"1137_576.4107_10.454_309_N/A_Spectral Match to p-tert-Octylphenol nonaglycol ether from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acid esters","3.506874e+06"
"1138_277.2373_10.0944_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","3.650327e+07"
"1139_322.2529_9.4312_748_N/A_ABSCISIC ACID_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates","3.040752e+08"
